Region,1995,2000,2005,2010,2015,2017,2020,2025,2030,2035,2040,change % 1995-2017,change % 2017-2040,,,
North America,2467,2699,2776,2721,2740,2773,2831,2851,2849,2848,2848,0.53,0.12,,,
United States,2070,2260,2301,2236,2227,2235,2278,2280,2260,2239,2223,0.35,-0.02,,,
S. & Cent. America,408,476,534,633,701,701,739,840,927,1012,1094,2.48,1.96,,,
Brazil,157,188,210,264,299,294,317,368,410,451,485,2.89,2.2,,,
Europe ,1978,2068,2174,2123,1993,2051,2072,2055,2000,1961,1928,0.17,-0.27,,,
EU,1678,1748,1836,1775,1649,1689,1694,1651,1577,1520,1475,0.03,-0.59,,,
CIS,809,753,806,846,877,896,918,939,964,992,1017,0.47,0.55,,,
Russia,656,613,640,668,677,698,713,718,728,741,750,0.29,0.31,,,
Middle East,352,415,554,714,848,897,956,1092,1215,1308,1391,4.34,1.93,,,
Africa,243,273,327,387,429,449,492,585,700,842,1019,2.83,3.62,,,
Asia Pacific,2307,2672,3724,4696,5472,5744,6294,6903,7440,8018,8569,4.23,1.75,,,
China,891,1011,1803,2491,3010,3132,3462,3694,3839,3956,4017,5.88,1.09,,,
India,252,317,394,538,687,754,860,1065,1300,1597,1928,5.1,4.17,,,
Other,1163,1343,1527,1667,1776,1858,1973,2144,2301,2464,2624,2.15,1.51,,,
World,8565,9356,10894,12119,13060,13511,14304,15264,16095,16980,17866,2.09,1.22,,,`
OECD,5214,5612,5842,5756,5630,5738,5842,5865,5803,5761,5719,0.44,-0.01,,,
Non-OECD,3351,3745,5051,6363,7431,7773,8462,9399,10293,11219,12147,3.9,1.96,,,